source,network
northtulsatoday,metric_media
nwoklahomanews,metric_media
okbusinessdaily,UNKNOWN
okcstandard,metric_media
scoklahomanews,metric_media
seoklahomanews,metric_media
soonerstatenews,metric_media
southokcnews,metric_media
southtulsatoday,metric_media
swoklahomanews,metric_media
tulsastandard,metric_media
vallianttoday,franklin_archer
beaverstatenews,metric_media
centraloregontimes,metric_media
eastoregonnews,metric_media
eastpdxtoday,metric_media
laneconews,UNKNOWN
midcoasttimes,metric_media
midvalleyreporter,metric_media
nehalemguide,franklin_archer
northcoasttoday,metric_media
orbusinessdaily,UNKNOWN
portlandcourant,metric_media
southcoasttimes,metric_media
southoregonnews,metric_media
westpdxtoday,metric_media
freedommedianetwork,UNKNOWN
hansondirectory,UNKNOWN
lgis,UNKNOWN
metrobusinessnetwork,UNKNOWN
therecordinc,UNKNOWN
altoonatimes,metric_media
beaverconews,UNKNOWN
berksconews,UNKNOWN
butlerconews,UNKNOWN
cambriatimes,metric_media
centralbuckstoday,metric_media
centralchestertoday,metric_media
centralpanews,metric_media
coalregionnews,metric_media
crawfordtimes,metric_media
cumberlandvalleynews,metric_media
dauphinnews,metric_media
eastmonttimes,UNKNOWN
eriecotimes,UNKNOWN
happyvalleytimes,metric_media
keystonebusinessnews,franklin_archer
keystonetoday,metric_media
laurelhighlandstoday,metric_media
lawrencetimes,metric_media
lebanonpanews,metric_media
lehightimes,metric_media
lowerbuckstoday,metric_media
luzernetimes,metric_media
lycomingnews,metric_media
monroeconews,UNKNOWN
ncpatimes,UNKNOWN
northalleghenynews,metric_media
northchestertoday,metric_media
northdelconews,metric_media
northerntiernews,metric_media
northhamptonnews,metric_media
northlancasternews,metric_media
northpocononews,metric_media
nwpanews,UNKNOWN
palmertonguide,franklin_archer
pennrecord,UNKNOWN
phillyleader,metric_media
pittreview,UNKNOWN
scpanews,UNKNOWN
scrantonreporter,metric_media
sealleghenynews,UNKNOWN
shenangovalleynews,metric_media
southchestertoday,metric_media
southdelconews,metric_media
southlancasternews,metric_media
swalleghenynews,UNKNOWN
swpanews,UNKNOWN
upperbuckstoday,metric_media
wcpanews,UNKNOWN
westmonttimes,UNKNOWN
westmorelandreview,metric_media
yorkconews,UNKNOWN
manilabusinessdaily,UNKNOWN
kentcotimes,UNKNOWN
oceanstatetoday,metric_media
providencereporter,metric_media
ribusinessdaily,UNKNOWN
southcotimes,UNKNOWN
guatemalabusinessdaily,UNKNOWN
latinbusinessdaily,UNKNOWN
aikentimes,metric_media
berkeleyleader,metric_media
charlestonreporter,metric_media
columbiastandard,metric_media
dorchestertoday,metric_media
greenvilleleader,metric_media
hiltonheadreporter,metric_media
lowerwestscnews,metric_media
myrtlebeachleader,metric_media
ncsctimes,UNKNOWN
palmettobusinessdaily,franklin_archer
palmettostatenews,metric_media
peedeenews,metric_media
scmidlandnews,metric_media
spartanburgreporter,metric_media
upperwestscnews,metric_media
upstatescnews,metric_media
bisonguide,franklin_archer
centralsdnews,UNKNOWN
nesdnews,UNKNOWN
rushmorestatenews,metric_media
sdbusinessdaily,UNKNOWN
sesdnews,UNKNOWN
siouxempiretoday,metric_media
westernsdnews,UNKNOWN
mchenrytimes,lgis
westlooptoday,UNKNOWN
clarksvilletimes,metric_media
hamiltonreporter,metric_media
johnsoncitytimes,metric_media
kingsportreporter,metric_media
knoxtimes,metric_media
memphisstandard,metric_media
morristowntimes,metric_media
nashvillestandard,metric_media
nctennnews,UNKNOWN
nenashvillenews,metric_media
northknoxnews,UNKNOWN
nwtennnews,UNKNOWN
rutherfordtimes,metric_media
sctennnews,UNKNOWN
setennnews,UNKNOWN
shelbyreporter,metric_media
smokymountaintoday,metric_media
southcumberlandnews,metric_media
southknoxnews,UNKNOWN
swtennnews,UNKNOWN
tnbusinessdaily,UNKNOWN
uppercumberlandtimes,metric_media
volunteerstatenews,metric_media
williamsonnews,metric_media
abilenetimes,metric_media
amarillogazette,metric_media
austintxnews,UNKNOWN
centraltxnews,UNKNOWN
centroplexnews,metric_media
coldspringguide,franklin_archer
collintimes,metric_media
coloradovalleyguide,franklin_archer
conchovalleynews,metric_media
corpuschristisun,metric_media
dallascitywire,metric_media
eastdfwnews,metric_media
easthoustonnews,metric_media
eastrgvnews,metric_media
ectexasnews,UNKNOWN
elpasostandard,metric_media
farwesttxnews,UNKNOWN
fiveareaguide,franklin_archer
forestcountrynews,metric_media
ftworthtimes,metric_media
graysontimes,metric_media
hillcountrychronicle,metric_media
houstonrepublic,metric_media
industrytxguide,UNKNOWN
jacksonreporter,franklin_archer
laredotimes,metric_media
lonestarstandard,UNKNOWN
longviewtimes,metric_media
lubbocktimes,metric_media
midcitytimes,metric_media
midlandtimes,UNKNOWN
mtenterprisetoday,franklin_archer
nedallasnews,metric_media
netarrantnews,metric_media
nortextimes,metric_media
northaustinnews,metric_media
northcoastalnews,metric_media
northhoustonnews,metric_media
northsanantonionews,metric_media
northtxnews,UNKNOWN
nwhoustonnews,metric_media
panhandletimes,metric_media
petroplexnews,metric_media
pokalambroguide,franklin_archer
rivieratxguide,UNKNOWN
sacorridornews,UNKNOWN
sanantoniostandard,metric_media
sctexasnews,metric_media
sedallasnews,metric_media
sehoustonnews,metric_media
setexasrecord,UNKNOWN
setexastimes,metric_media
southbrazorianews,metric_media
southdfwnews,metric_media
southgalvestonnews,metric_media
